placeid,lat,lon,opened_sunday,State,city,elevation,population,nearest_hotel,nearest_railstation
ChIJYzS81CZiskcRrd9LprtoFMw,54.29259,10.59439,1,SH,Plön,38,5814,5574.80800611,8567.49256244
ChIJAxAKC91lskcRr1JHYhS87o8,54.1699,10.55369,0,SH,Plön,41,1140,830.079613941,6622.49918939
ChIJgXLqUOxvskcRSKDfjqGZMc4,54.12726,10.62285,1,SH,Ostholstein,41,1140,6406.6068826,5873.22607179
ChIJ73VgARJ0skcRXHH976av42Q,54.02422,10.74814,1,SH,Ostholstein,11,16176,1985.60082447,7113.393199
ChIJu5s78VR0skcRlQBB7U1_Nxc,53.9983391,10.780568,1,SH,Ostholstein,11,19722,194.492455694,10635.9787182
ChIJgerd4HRtskcRzZ3yXBQObiY,54.00968,10.57371,0,SH,Ostholstein,11,19722,11663.1217689,8777.69632383
ChIJSSun3HVtskcRpUSCfIaV4bY,54.0105501,10.5787175,0,SH,Ostholstein,11,19722,11363.9478822,8483.20502349
ChIJhVoTGWxWrEcRURarU4V94LU,54.1527231,12.0650607,0,MV,Rostock,13,4273,2049.57677474,9337.67151862
ChIJ_VFSD01XrEcRGtNuXnhoCrA,54.0880444,12.121907,0,MV,Rostock,33,2348,484.083334337,1245.83944301
ChIJFXbDkzZXrEcRnt3iBgTFnzg,54.09393,12.1072,0,MV,Rostock,52,3132,715.123062603,2342.01102546
ChIJmUWb-5_4rEcRLCxs_7V8mUI,54.17828,12.08749,1,MV,Rostock,13,4273,229.833303773,10394.8840501
ChIJSenlkFNXrEcRqQbCx57a4ts,54.0881783,12.1356636,0,MV,Rostock,33,2348,35.0997283683,1144.12483296
ChIJT_5Ka3fzrEcRnSyVjvr2y48,54.24607,12.40948,0,MV,Nordvorpommern,6,17152,7150.25768074,13156.035013
ChIJExy162JWrEcRijTtgNeLr2w,54.13868,12.04838,0,MV,Bad Doberan,13,4273,3316.87975274,8620.58377625
ChIJ5Uvo3ZJWrEcRIwJ9SoSYMxc,54.12268,12.05939,0,MV,Rostock,16,3016,2694.31010941,6806.59699522
ChIJSenlkFNXrEcR4b6DckKJvwg,54.0883367,12.1314016,0,MV,Rostock,33,2348,151.487800299,1123.14783347
ChIJFVTiQaZWrEcRmXRmK02IpIM,54.1066265,12.0330575,1,MV,Bad Doberan,16,3016,3506.08163463,7134.73661972
ChIJRxhjTbtQrEcRy3ectrG6vmQ,54.0706836,12.1168647,0,MV,Bad Doberan,15,2514,1226.63584667,1254.70471231
ChIJE1bLUuNZrEcRLc1T-s0kBZY,54.09202,12.15019,0,MV,Rostock,33,2348,740.141245765,1973.30412528
ChIJe7sn0tBWrEcR6KVx-y5DV1g,54.09946,12.07385,0,MV,Bad Doberan,16,3016,1008.2441798,4420.32086467
ChIJB2IlllVTrEcRQW5nbKZmnt4,54.10672,11.90053,0,MV,Bad Doberan,13,11559,241.683421073,15373.0102235
ChIJ-V4NEteQrEcRvydS6W9njDc,54.3676701,12.7256495,0,MV,Nordvorpommern,1,9298,351.146669163,8069.12337851
ChIJnfFaYmuprUcR_cvZiWaJSmM,54.14966,11.75835,1,MV,Bad Doberan,8,7453,483.230618258,25570.3697224
ChIJT3qAqTKwrUcR793jYvACX6U,54.03117,11.67219,0,MV,Bad Doberan,21,4276,14131.6634599,27796.8910707
ChIJcdT9ED5iq0cRL_L17RlxpX0,54.3237317,13.0573725,0,MV,Stralsund,5,1747,365.412614741,2207.23216593
ChIJ_w7jxbVjq0cRCL1k9f5FLS8,54.3137,13.08996,1,MV,Stralsund,14,1301,362.577907725,1003.92320061
ChIJw5kvj2hiq0cRaDlDSBxXalQ,54.32074,13.04658,1,MV,Stralsund,5,1747,242.034726934,2486.32141728
ChIJHwqTru90q0cRpNdX6UrOLjc,54.09614,13.38491,0,MV,Greifswald,7,844,1650.068267,16591.4875398
ChIJbYl18U5Cq0cRWpjrRcFRu9o,54.427107,13.4232438,1,MV,Rügen,73,14771,1642.97208732,757.0535053
ChIJfwJ8gJc_q0cRgxJkoxv754g,54.40142,13.61404,1,MV,Rügen,5,5531,76.5798173286,12826.0202874
ChIJy9PGi5A_q0cRYnLLEE_sJ1s,54.4031439,13.6030316,1,MV,Rügen,5,5531,417.095692002,12091.291679
ChIJv_kbodV0q0cRZkZObcZTx9k,54.0811,13.41842,0,MV,Greifswald,32,1604,1327.04806938,19330.3989816
ChIJrZJTINQKq0cRNR2b4w_972A,54.0765944,13.429165,0,MV,Greifswald,32,1604,2075.48755696,20185.7094041
ChIJm9C6SuYGq0cRhbmYONAyRB4,54.0526276,13.7743445,0,MV,Ostvorpommern,16,12664,7141.0407867,6849.96322279
ChIJbWthPkFCq0cRqqnEzqGU_uo,54.416685,13.4210372,0,MV,Rügen,73,14771,576.00818637,484.809714145
ChIJNwIZwnjoyUcRn9NF8bTN1rQ,53.58837,6.66369,1,NI,Leer,3,5186,194.993667584,40882.5798516
ChIJnY3O8e4ctkcRxFtZteUXseY,53.6774,6.9939,1,NI,Aurich,4,5949,31.4603238729,20539.3862701
ChIJ3R855CNitkcRIjefpcHKRJ4,53.5769499,7.7809,0,NI,Wittmund,1,1000,376.627615492,4423.5214089
ChIJX7cim5NztkcR6U3het6jkhc,53.74822,7.48056,1,NI,Wittmund,-1,429,24713.2612531,15492.877127
ChIJ80yPB2aAtkcRnoj1ZBHhjUo,53.79163,7.89963,1,NI,Friesland,6,1081,183.742731486,23876.6621442
ChIJb_uuUmdltkcRcSKeT5bpRTc,53.64661,7.610028,0,NI,Wittmund,6,6856,14019.9932494,16361.0426816
ChIJDwqcRFAFtkcRRe32iurZONo,53.70708,7.1435,1,NI,Aurich,4,5949,9840.99795251,14362.4999529
ChIJOR9MKr8WtkcRNpiwSnZnVoc,53.58992,7.21611,0,NI,Aurich,8,25093,667.793311254,4781.71425369
ChIJmYEinxWMtkcRl7q4h3lcYnc,53.5409099,7.94887,0,NI,Friesland,4,2220,11064.1151313,7848.94289582
ChIJgexOz2eJtkcR02ryu5nruiQ,53.57325,7.89897,0,NI,Friesland,4,2220,7613.45928797,3444.16341694
ChIJrRelIb2RtkcRIMgIA8Z2H6U,53.57409,8.0909534,0,NI,"Wilhelmshaven, Stadt",1,2000,6233.57155303,10131.7338012
ChIJ6f9dur2TtkcREukApwmT0Uc,53.5189328,8.1167944,1,NI,"Wilhelmshaven, Stadt",1,2000,303.836115135,6494.93758653
ChIJd82di7uTtkcRn7Syqyr69Ow,53.52011,8.11198,1,NI,"Wilhelmshaven, Stadt",1,2000,71.0714642522,6288.03322228
ChIJBymcAeuTtkcRCdijk-V5APY,53.528501,8.125995,0,NI,"Wilhelmshaven, Stadt",1,2000,1349.93025715,7574.1904375
ChIJPbVELvKxtkcRMi8hBzK0JLM,53.5835943,8.6265297,0,NI,Cuxhaven,6,18863,2581.36104764,2566.37730169
ChIJW-3zaFNSsUcRe2NcWTUrWT4,53.62629,8.83812,1,NI,Cuxhaven,14,709,17259.4665091,17029.7070766
ChIJEfJmnBmxtkcRqcLVXv8sb9w,53.54202,8.57833,0,HB,"Bremerhaven, Stadt",6,18863,250.949974185,1608.54681798
ChIJGwFTEqixtkcR9RD_Te90JFU,53.56041,8.5855599,0,HB,"Bremerhaven, Stadt",6,18863,1279.37765321,1199.72605417
ChIJ6-NfXz-xtkcRRCuNrA4ta7o,53.53248,8.59246,0,HB,"Bremerhaven, Stadt",6,18863,243.229941729,541.59004171
ChIJj_8qdsXws0cRxSEDFuWs3gk,53.951366,9.012405,0,SH,Dithmarschen,-1,365,22015.8854463,16029.3645554
ChIJ9ck2SymutkcRx7a0Zc0ukWE,53.60776,8.5962599,0,NI,Cuxhaven,6,18863,4115.99755669,4616.43526965
ChIJvUWhvuixtkcRSixKU8ZiHtY,53.5884189,8.6161432,0,HB,"Bremerhaven, Stadt",6,18863,2449.25199558,2658.34379171
ChIJEwdlekLls0cR6I666D-pj7k,53.89836,9.12763,1,SH,Dithmarschen,1,13950,25817.7919746,8272.56333108
ChIJrRbolhOxtkcRUthKnSGntSk,53.54235,8.59027,0,HB,"Bremerhaven, Stadt",6,18863,629.647987683,1027.89710239
ChIJFyj3nRyxtkcRo8id9KuxeZw,53.5473799,8.57529,0,HB,"Bremerhaven, Stadt",6,18863,439.136163235,2055.96311439
ChIJH4EVJddesUcRFEX87It_mPE,53.68478,9.15976,0,NI,Cuxhaven,10,8817,22595.833899,377.664628676
ChIJ2TQWQ27ls0cRZsceqWryAjM,53.8965984,9.1404754,0,SH,Dithmarschen,1,13950,24970.1583464,7515.68530463
ChIJvcNtT1FSsUcRhoX5oNX4aGU,53.6244416,8.8411362,0,NI,Cuxhaven,14,709,17374.1633903,17134.8127568
ChIJFSxdLBiPsUcR8gaaLr2qdTw,53.5558158,9.9874071,0,HH,"Hamburg, Freie und Hansestadt",32,16210,83.1502471126,93.2046431872
ChIJZ6gUdWCAsUcRX9W2BADDMPc,53.6625421,9.7988587,0,SH,Pinneberg,14,688,8054.64205335,810.811994335
ChIJG4XxCACMsUcRt-QDm7F9b40,53.5733,10.07008,0,HH,"Hamburg, Freie und Hansestadt",32,16210,103.702770194,171.48876864
ChIJS_pJgyMuskcR17USobV_gik,53.83778,9.96066,0,SH,Segeberg,32,19747,5314.73660974,17119.8508929
ChIJu3YQi6kvskcR1LAp4OJPFkI,53.8017992,9.9792573,0,SH,Segeberg,32,19747,1150.01604661,13044.954067
ChIJlXSKPfmJsUcREIY4FKkXTGc,53.6521887,10.0933749,0,HH,"Hamburg, Freie und Hansestadt",34,6554,840.858969381,42.816693882
ChIJx1bO_HIzskcR1kKhgF7o3xs,53.92039,9.8813099,0,SH,Segeberg,11,13177,874.600536968,8846.09230102
ChIJo8h8Ok_Ts0cReqyitv3B1kU,53.78953,9.77205,0,SH,Pinneberg,15,9521,7757.77536177,8369.43188695
ChIJEzdWIX8oskcRSV3-LygrzOI,53.70713,9.99327,0,SH,Segeberg,29,71439,330.684785966,2555.93827289
ChIJR_owBarOs0cRTd7Wg_BRy0k,53.94873,9.71949,0,SH,Steinburg,17,7921,10309.802011,2620.53977209
ChIJdcRhLWUpskcRfZR-FD4F4RU,53.73046,9.89699,0,SH,Pinneberg,29,20410,2614.84061496,7760.60715827
ChIJ0yjb0DbUs0cR5UbgN-c76g0,53.7458391,9.6722046,0,SH,Pinneberg,6,48703,13188.9747558,1295.63723801
ChIJT7epwgkoskcRl1dBFAfBkok,53.6840706,9.9875257,0,SH,Segeberg,29,71439,1235.39944528,127.01280175
ChIJuzkkMC6GsUcRTcdDYaH13Ww,53.6200393,9.9514729,0,HH,"Hamburg, Freie und Hansestadt",29,71439,1559.1285262,58.1637542202
ChIJt2lv1SLRs0cRPVmHJBGi_2g,53.8043559,9.6246887,0,SH,Steinburg,13,5183,9102.52662673,5980.37667505
ChIJz4c1QVaPsUcRpo8F3Cgrz20,53.576689,9.9514646,0,HH,"Hamburg, Freie und Hansestadt",29,71439,836.251921979,66.5192733209
ChIJ8Z_kR2HVs0cR9Lc_km3cVE8,53.69608,9.71362,0,SH,Pinneberg,9,17921,14428.1782953,161.86854004
ChIJ2QJ7SfjEs0cRFidx0pshK04,53.92351,9.5166799,1,SH,Steinburg,-3,24,1071.37511208,13645.5277959
ChIJgQgJgbOGsUcRfxKXEenZUio,53.6088415,9.8430702,0,SH,Pinneberg,11,31995,4016.52025365,1793.92228587
ChIJobQ842CGsUcRugreLsWb7D4,53.60694,9.90458,0,HH,"Hamburg, Freie und Hansestadt",29,71439,1145.50371423,881.923111722
ChIJp8rDtMOAsUcR_3d04YtCu9Q,53.65245,9.82973,0,SH,Pinneberg,29,20410,5942.84751595,1384.08569694
ChIJCUyY7ybUs0cR0h04pQBiT-Y,53.7537124,9.655696,0,SH,Pinneberg,6,48703,12403.8038746,255.193559086
ChIJxR9WIjt-sUcRAQHIBK0Az6c,53.68265,9.66621,1,SH,Pinneberg,9,17921,14704.6165031,3596.19151645
ChIJQYeVX8aHsUcRB4F0BiB6kF8,53.64125,9.94954,0,HH,"Hamburg, Freie und Hansestadt",29,71439,1518.4152645,29.1433620904
ChIJuyxizMSIsUcRMnZ6Pjcd3fQ,53.59437,10.00064,0,HH,"Hamburg, Freie und Hansestadt",29,71439,1412.12495351,299.863825166
ChIJaXNKgoiFsUcRDei5_sG_NQA,53.5519434,9.9357628,1,HH,"Hamburg, Freie und Hansestadt",29,71439,10.5443203244,157.491328228
ChIJLSeMk6uOsUcRL4TzMsQA02g,53.5704769,10.0613543,0,HH,"Hamburg, Freie und Hansestadt",32,16210,173.305137442,131.328843657
ChIJQdLNnjiJsUcRNvWK8X07qrk,53.5909,10.04449,0,HH,"Hamburg, Freie und Hansestadt",29,71439,1001.83072765,393.003730239
ChIJ1QJv3imBsUcR9nOwpWYSjzQ,53.6364299,9.8404046,0,SH,Pinneberg,29,71439,5536.96842484,657.887039492
ChIJWQc_eOGOsUcRn-sYMOcfBtQ,53.552636,10.0043527,0,HH,"Hamburg, Freie und Hansestadt",32,16210,192.647043604,136.504970755
ChIJOzKDiQKJsUcRe9EVAOJGRow,53.61274,10.0242799,0,HH,"Hamburg, Freie und Hansestadt",29,71439,994.69991362,408.199866043
ChIJQdLNnjiJsUcRd5eOHpPgWZk,53.5939151,10.0445001,0,HH,"Hamburg, Freie und Hansestadt",29,71439,780.855769819,492.546302693
ChIJhe0kL62GsUcRAnNotCC1SuY,53.60233,9.83766,0,SH,Pinneberg,11,31995,3218.79106526,2481.11131557
ChIJZy0FSRKEsUcRml1OKX8xIRM,53.57446,9.84596,0,HH,"Hamburg, Freie und Hansestadt",11,31995,1450.35178316,1493.76760649
ChIJ_cVdrH6JsUcRh0JiaKu4wJQ,53.612071,10.0765171,0,HH,"Hamburg, Freie und Hansestadt",34,6554,1420.21642329,2182.95393572
ChIJKQG6NSs5skcRqsHKZPiEdTI,53.9524642,10.2108482,0,SH,Segeberg,43,9553,6542.9040009,20404.2796211
ChIJcZuAuHOJsUcRltFS0glyI90,53.6108976,10.058181,0,HH,"Hamburg, Freie und Hansestadt",34,6554,1437.22949851,1776.39411613
ChIJN1eEDTo-skcROhLfFznr-zk,53.93663,10.30575,0,SH,Segeberg,43,9553,749.845043599,21140.7889684
ChIJ34kN4v2OsUcRTxyAIf18qE0,53.5416866,9.9979998,0,HH,"Hamburg, Freie und Hansestadt",32,16210,10.2629494947,713.492258953
ChIJZW9UFzeCsUcRKJGC6m3_p0U,53.58157,9.75783,0,HH,"Hamburg, Freie und Hansestadt",11,31995,3633.27475499,167.998368274
ChIJ2w587eEZskcRfsz-S8ufnJU,53.80896,10.37712,0,SH,Stormarn,50,738,2707.06720541,6712.62142386
ChIJ8fh2vFOIsUcRL40UANwW3Sw,53.628524,10.023548,0,HH,"Hamburg, Freie und Hansestadt",29,71439,602.180116783,488.273644028
ChIJcRJexY0fskcRwCm5u4yy8Ec,53.6732303,10.2393439,0,SH,Stormarn,44,30103,497.7013054,580.336263238
ChIJV2rmgU0fskcRsUHLdNTdqQ4,53.72943,10.26414,0,SH,Stormarn,51,13640,5974.5207362,7026.64670164
ChIJhyO6NgNisUcRFNCbbacqgJU,53.7071197,9.388457,1,NI,Stade,2,12121,12260.4269453,13663.2056478
ChIJR3ATKlqKsUcR9oAFl59QgBc,53.62486,10.1405,0,HH,"Hamburg, Freie und Hansestadt",34,6554,3117.51830074,194.772202433
ChIJJ_aBF594sUcRUSJmxD2Pdxk,53.58024,9.70375,0,SH,Pinneberg,11,31995,6717.92783951,193.04854
