placeid,DayOfWeek,OpenTime,CloseTime,OpenDuration
ChIJb0Z91274skcRbG5c8G7XllM,1,8.0,18.5,10.5
ChIJz8ewyMhLskcR2grZ7UgCN8w,1,8.0,19.0,11.0
ChIJ4R3WLrf5skcRVeNdYOEAR64,1,8.0,18.0,10.0
ChIJEYJGOlZ1s0cRHWiR3FLOVNc,1,8.0,19.0,11.0
ChIJZ9Rs4b5bskcR90RVbLlP_N0,1,8.0,19.0,11.0
ChIJz8ewyMhLskcRKRd9w1RgM-s,1,8.0,19.0,11.0
ChIJt5t6QIC3s0cR15U4X_Rf4QE,1,8.0,20.0,12.0
ChIJAciyc4P2skcR1W0xLjwV5Nk,1,8.0,19.0,11.0
ChIJxYmiECBHskcREXrsRpOHv3A,1,8.0,20.0,12.0
ChIJYeeAgQBoskcRS1T7Nx2cuRQ,1,8.0,19.0,11.0
ChIJUc81lCR_skcRRbWlshs0bmM,1,8.0,18.5,10.5
ChIJEZTlPPaBskcREesGSBCNb14,1,8.0,19.0,11.0
ChIJw8UhkXiAskcRAcg6rv6H48Y,1,9.0,19.0,10.0
ChIJkyuSfyh-skcRDFFHawBw8Eo,1,8.0,18.5,10.5
ChIJ01O-WTJ7rUcRBQXXpyfTQBU,1,8.0,18.5,10.5
ChIJBYYfwqiHrUcRV1TGeh_IpzU,1,8.0,19.0,11.0
ChIJXUFF_nF3skcReQsX6kZvkiI,1,8.0,19.0,11.0
ChIJH7hIjotvskcRIR5KwLAt9H0,1,8.0,19.0,11.0
ChIJYzS81CZiskcRrd9LprtoFMw,1,8.0,20.0,12.0
ChIJAxAKC91lskcRr1JHYhS87o8,1,8.0,19.0,11.0
ChIJgXLqUOxvskcRSKDfjqGZMc4,1,8.0,20.0,12.0
ChIJ73VgARJ0skcRXHH976av42Q,1,8.0,22.0,14.0
ChIJu5s78VR0skcRlQBB7U1_Nxc,1,8.0,20.0,12.0
ChIJgerd4HRtskcRzZ3yXBQObiY,1,8.0,19.0,11.0
ChIJSSun3HVtskcRpUSCfIaV4bY,1,8.0,20.0,12.0
ChIJhVoTGWxWrEcRURarU4V94LU,1,9.0,19.0,10.0
ChIJ_VFSD01XrEcRGtNuXnhoCrA,1,8.5,19.0,10.5
ChIJFXbDkzZXrEcRnt3iBgTFnzg,1,8.0,20.0,12.0
ChIJmUWb-5_4rEcRLCxs_7V8mUI,1,9.0,18.0,9.0
ChIJSenlkFNXrEcRqQbCx57a4ts,1,9.0,20.0,11.0
ChIJT_5Ka3fzrEcRnSyVjvr2y48,1,8.0,20.0,12.0
ChIJExy162JWrEcRijTtgNeLr2w,1,8.0,20.0,12.0
ChIJ5Uvo3ZJWrEcRIwJ9SoSYMxc,1,8.0,20.0,12.0
ChIJSenlkFNXrEcR4b6DckKJvwg,1,8.5,20.0,11.5
ChIJFVTiQaZWrEcRmXRmK02IpIM,1,8.5,20.0,11.5
ChIJRxhjTbtQrEcRy3ectrG6vmQ,1,8.0,20.0,12.0
ChIJE1bLUuNZrEcRLc1T-s0kBZY,1,8.0,20.0,12.0
ChIJe7sn0tBWrEcR6KVx-y5DV1g,1,8.0,20.0,12.0
ChIJB2IlllVTrEcRQW5nbKZmnt4,1,8.0,20.0,12.0
ChIJ-V4NEteQrEcRvydS6W9njDc,1,8.5,19.0,10.5
ChIJnfFaYmuprUcR_cvZiWaJSmM,1,8.5,19.0,10.5
ChIJT3qAqTKwrUcR793jYvACX6U,1,8.0,19.0,11.0
ChIJcdT9ED5iq0cRL_L17RlxpX0,1,8.0,19.0,11.0
ChIJ_w7jxbVjq0cRCL1k9f5FLS8,1,8.5,19.0,10.5
ChIJw5kvj2hiq0cRaDlDSBxXalQ,1,9.0,20.0,11.0
ChIJHwqTru90q0cRpNdX6UrOLjc,1,8.0,20.0,12.0
ChIJbYl18U5Cq0cRWpjrRcFRu9o,1,8.0,20.0,12.0
ChIJfwJ8gJc_q0cRgxJkoxv754g,1,9.0,19.0,10.0
ChIJy9PGi5A_q0cRYnLLEE_sJ1s,1,8.0,20.0,12.0
ChIJv_kbodV0q0cRZkZObcZTx9k,1,9.0,18.5,9.5
ChIJrZJTINQKq0cRNR2b4w_972A,1,9.0,20.0,11.0
ChIJm9C6SuYGq0cRhbmYONAyRB4,1,8.5,20.0,11.5
ChIJbWthPkFCq0cRqqnEzqGU_uo,1,8.5,20.0,11.5
ChIJNwIZwnjoyUcRn9NF8bTN1rQ,1,8.0,20.0,12.0
ChIJnY3O8e4ctkcRxFtZteUXseY,1,8.5,19.0,10.5
ChIJ3R855CNitkcRIjefpcHKRJ4,1,8.0,19.0,11.0
ChIJX7cim5NztkcR6U3het6jkhc,1,8.5,19.0,10.5
ChIJ80yPB2aAtkcRnoj1ZBHhjUo,1,8.5,19.0,10.5
ChIJb_uuUmdltkcRcSKeT5bpRTc,1,9.0,19.0,10.0
ChIJDwqcRFAFtkcRRe32iurZONo,1,9.0,19.0,10.0
ChIJOR9MKr8WtkcRNpiwSnZnVoc,1,9.0,20.0,11.0
ChIJmYEinxWMtkcRl7q4h3lcYnc,1,9.0,19.0,10.0
ChIJgexOz2eJtkcR02ryu5nruiQ,1,8.5,19.0,10.5
ChIJrRelIb2RtkcRIMgIA8Z2H6U,1,8.5,19.0,10.5
ChIJ6f9dur2TtkcREukApwmT0Uc,1,9.0,20.0,11.0
ChIJd82di7uTtkcRn7Syqyr69Ow,1,9.0,19.0,10.0
ChIJBymcAeuTtkcRCdijk-V5APY,1,8.5,19.0,10.5
ChIJPbVELvKxtkcRMi8hBzK0JLM,1,8.0,20.0,12.0
ChIJW-3zaFNSsUcRe2NcWTUrWT4,1,8.5,19.0,10.5
ChIJEfJmnBmxtkcRqcLVXv8sb9w,1,8.5,19.0,10.5
ChIJGwFTEqixtkcR9RD_Te90JFU,1,8.5,19.0,10.5
ChIJ6-NfXz-xtkcRRCuNrA4ta7o,1,8.0,20.0,12.0
ChIJj_8qdsXws0cRxSEDFuWs3gk,1,8.0,21.0,13.0
ChIJ9ck2SymutkcRx7a0Zc0ukWE,1,8.0,20.0,12.0
ChIJvUWhvuixtkcRSixKU8ZiHtY,1,8.5,19.0,10.5
ChIJEwdlekLls0cR6I666D-pj7k,1,8.0,20.0,12.0
ChIJrRbolhOxtkcRUthKnSGntSk,1,8.0,21.0,13.0
ChIJFyj3nRyxtkcRo8id9KuxeZw,1,8.0,20.0,12.0
ChIJH4EVJddesUcRFEX87It_mPE,1,8.0,20.0,12.0
ChIJ2TQWQ27ls0cRZsceqWryAjM,1,8.5,20.0,11.5
ChIJvcNtT1FSsUcRhoX5oNX4aGU,1,8.5,20.0,11.5
ChIJFSxdLBiPsUcR8gaaLr2qdTw,1,8.0,20.0,12.0
ChIJZ6gUdWCAsUcRX9W2BADDMPc,1,9.0,19.0,10.0
ChIJG4XxCACMsUcRt-QDm7F9b40,1,8.0,20.0,12.0
ChIJS_pJgyMuskcR17USobV_gik,1,8.0,20.0,12.0
ChIJu3YQi6kvskcR1LAp4OJPFkI,1,8.0,20.0,12.0
ChIJlXSKPfmJsUcREIY4FKkXTGc,1,8.0,21.0,13.0
ChIJx1bO_HIzskcR1kKhgF7o3xs,1,8.0,20.0,12.0
ChIJo8h8Ok_Ts0cReqyitv3B1kU,1,8.0,19.0,11.0
ChIJEzdWIX8oskcRSV3-LygrzOI,1,8.0,19.0,11.0
ChIJR_owBarOs0cRTd7Wg_BRy0k,1,8.0,19.0,11.0
ChIJdcRhLWUpskcRfZR-FD4F4RU,1,8.0,19.0,11.0
ChIJ0yjb0DbUs0cR5UbgN-c76g0,1,8.0,20.0,12.0
ChIJT7epwgkoskcRl1dBFAfBkok,1,8.5,20.0,11.5
ChIJuzkkMC6GsUcRTcdDYaH13Ww,1,8.0,20.0,12.0
ChIJt2lv1SLRs0cRPVmHJBGi_2g,1,8.0,20.0,12.0
ChIJz4c1QVaPsUcRpo8F3Cgrz20,1,8.0,20.5,12.5
ChIJ8Z_kR2HVs0cR9Lc_km3cVE8,1,8.0,20.0,12.0
ChIJ2QJ7SfjEs0cRFidx0pshK04,1,8.0,20.0,12.0
ChIJgQgJgbOGsUcRfxKXEenZUio,1,8.0,20.0,12.0
ChIJobQ842CGsUcRugreLsWb7D4,1,9.0,19.0,10.0
ChIJp8rDtMOAsUcR_3d04YtCu9Q,1,8.0,20.0,12.0
ChIJCUyY7ybUs0cR0h04pQBiT-Y,1,8.0,19.0,11.0
ChIJxR9WIjt-sUcRAQHIBK0Az6c,1,8.5,19.0,10.5
ChIJQYeVX8aHsUcRB4F0BiB6kF8,1,8.0,19.0,11.0
ChIJuyxizMSIsUcRMnZ6Pjcd3fQ,1,8.0,20.0,12.0
ChIJaXNKgoiFsUcRDei5_sG_NQA,1,7.0,22.0,15.0
ChIJLSeMk6uOsUcRL4TzMsQA02g,1,8.0,20.0,12.0
ChIJQdLNnjiJsUcRNvWK8X07qrk,1,8.5,20.0,11.5
ChIJ1QJv3imBsUcR9nOwpWYSjzQ,1,8.0,19.5,11.5
ChIJWQc_eOGOsUcRn-sYMOcfBtQ,1,8.0,21.0,13.0
ChIJOzKDiQKJsUcRe9EVAOJGRow,1,8.0,20.0,12.0
ChIJQdLNnjiJsUcRd5eOHpPgWZk,1,8.0,20.0,12.0
ChIJhe0kL62GsUcRAnNotCC1SuY,1,9.0,20.0,11.0
ChIJZy0FSRKEsUcRml1OKX8xIRM,1,8.0,19.0,11.0
ChIJ_cVdrH6JsUcRh0JiaKu4wJQ,1,8.0,20.0,12.0
ChIJKQG6NSs5skcRqsHKZPiEdTI,1,8.0,19.0,11.0
ChIJcZuAuHOJsUcRltFS0glyI90,1,8.5,19.5,11.0
ChIJN1eEDTo-skcROhLfFznr-zk,1,8.0,19.0,11.0
ChIJ34kN4v2OsUcRTxyAIf18qE0,1,9.0,20.0,11.0
ChIJZW9UFzeCsUcRKJGC6m3_p0U,1,8.0,19.5,11.5
ChIJ2w587eEZskcRfsz-S8ufnJU,1,8.5,19.0,10.5
ChIJ8fh2vFOIsUcRL40UANwW3Sw,1,8.0,20.0,12.0
ChIJcRJexY0fskcRwCm5u4yy8Ec,1,8.0,20.0,12.0
ChIJV2rmgU0fskcRsUHLdNTdqQ4,1,8.0,19.0,11.0
ChIJhyO6NgNisUcRFNCbbacqgJU,1,8.0,20.0,12.0
ChIJR3ATKlqKsUcR9oAFl59QgBc,1,8.0,19.0,11.0
ChIJJ_aBF594sUcRUSJmxD2Pdxk,1,8.0,19.0,11.0
ChIJe4iEbe3Cs0cRx2lIa1N0H0Y,1,8.0,20.0,12.0
ChIJB16fK7GLsUcRS1P-978F60w,1,8.0,20.0,12.0
ChIJmeSkQA54sUcRwhHEZY0RNBc,1,8.5,19.0,10.5
ChIJhU0BlZ2GsUcRhhbB-x6IZ74,1,8.5,20.0,11.5
ChIJ_49M3UzZs0cRDSv-d0tKtfQ,1,8.0,19.0,11.0
ChIJP7I2ixyEsUcRuGRhyW02qwM,1,8.0,20.0,12.0
ChIJ9UvSJ3yLsUcR_fAZiuhCKRc,1,8.5,19.5,11.0
ChIJ68AlXbVksUcRW-gi3wpHzJk,1,8.5,19.0,10.5
ChIJJ7FZ5HOLsUcRU1qxEE3UDNE,1,8.0,20.0,12.0
ChIJbRi13tiMsUcRK8W-nuwi34k,1,8.0,20.0,12.0
ChIJN5tsnIsVskcRpUB2WPwIt2o,1,8.0,20.0,12.0
ChIJbf1L0spksUcReByrFKtNdD0,1,8.5,19.0,10.5
ChIJm6D1rwSLsUcRssbZIEaQ5Rs,1,8.0,20.0,12.0
ChIJVYPAAFuMsUcRqLSmDCOO9xo,1,8.5,20.0,11.5
ChIJTZ4-UuGOsUcRJ6JilKT1xwc,1,7.0,23.0,16.0
ChIJN_TkTDt-sUcRtZMdI5L5RCg,1,8.5,20.0,11.5
ChIJkyjPrwSLsUcR3x9dC4JeHFo,1,8.5,20.0,11.5
ChIJeYJ1u0vysUcRjYaM908vmXY,1,8.0,20.0,12.0
ChIJKc8ZRb_3sUcRy3iIGBa1g1g,1,8.0,19.0,11.0
ChIJ_SQnLJ9vsUcRxqDoGOXqVQ4,1,8.0,20.0,12.0
ChIJuVakNcaIsUcRSB20uHHpWuI,1,8.5,20.0,11.5
ChIJ03KKa4GKsUcRfdqy15rwmr0,1,8.5,20.0,11.5
ChIJj8f4QFoJskcRgIz9sqaOXeA,1,8.0,20.0,12.0
ChIJu8h9G1_xrUcRGNf_lc8imAU,1,8.0,19.0,11.0
ChIJL-F2YlQJskcRxV2jkHLq4B8,1,8.5,20.0,11.5
ChIJJTAKOZzrrUcRsxy5JMqYzIQ,1,8.0,19.0,11.0
ChIJDWGYk68OskcRiT_Ha8DYWtk,1,8.5,20.0,11.5
ChIJm7jUFMSKrUcRRRi6-Ml10V0,1,8.0,19.0,11.0
ChIJUW9A0n0JskcRLJZiIjPqC6g,1,8.0,20.0,12.0
ChIJ9YbfrH4LskcRCeQITLuEj20,1,8.0,19.0,11.0
ChIJw-yPZIMKskcRo5Su6kc6nWI,1,8.0,19.0,11.0
ChIJ373jx2LmrUcROB_5rtflumU,1,8.0,19.0,11.0
ChIJi-1jvlkJskcRtQs_AmIAOlw,1,8.0,20.0,12.0
ChIJRSkAXcX4rUcRFPVaLM_GWUI,1,8.0,19.0,11.0
ChIJo6E1M0O_rUcR2Pveq3KaLfo,1,8.0,20.0,12.0
ChIJlSTkDFgJskcRY9LAfupVvaI,1,9.0,19.0,10.0
ChIJEX59bZy4rUcRlLl6E-HKbNo,1,8.0,20.0,12.0
ChIJp7vc1RgJskcRT5lRQ_w_GVo,1,8.5,20.0,11.5
ChIJ5dFJJzkJskcRQvu0o7r85uA,1,8.0,20.0,12.0
ChIJGf0Nnaa4rUcRtyBzypJS1xo,1,8.5,20.0,11.5
ChIJf6HCdPQLskcRF-nVFJaBXec,1,8.0,20.0,12.0
ChIJbXXYNBYMskcR6eZdO587skc,1,8.0,20.0,12.0
ChIJE5J-CpQOskcRJkwonW_X-K0,1,8.5,20.0,11.5
ChIJocOhVLjZrUcRb5FOdu1EGu0,1,9.0,20.0,11.0
ChIJC8pF7r8OskcRanHHHJOjS9Y,1,8.5,20.0,11.5
ChIJj9SF6AwAskcRXPyg9PNAQ5A,1,8.0,19.0,11.0
ChIJ35W6Al7XrUcRwi3No6vUf5w,1,8.0,19.0,11.0
ChIJqR-2EaQLrkcRj00IFuSlvVc,1,8.5,19.0,10.5
ChIJpUgDtn4LskcRJYAYrETwlFE,1,8.5,20.0,11.5
ChIJkwjjkL8OskcRF6Ht2N2hELI,1,8.5,20.0,11.5
ChIJLTsjD7_7sUcRVLWCrnKMQ5M,1,8.0,20.0,12.0
ChIJm7L7sWw_rEcRVdX5OEsy-P0,1,8.0,19.0,11.0
ChIJh3_puzFIrEcRXCIxTgiziAI,1,8.0,18.5,10.5
ChIJcwRpRtMMrEcRn6Dr5Ez8kBk,1,8.5,19.0,10.5
ChIJCTyUb7ojrEcRw2Z_A5-scoQ,1,8.5,18.0,9.5
ChIJZ0mP0Pe1rUcRpfxzXEZNqnY,1,8.5,18.0,9.5
ChIJOdglQXGuq0cRUxA1DLvMqIc,1,8.0,19.0,11.0
ChIJ9Slhy4SYq0cRilmhYauJa4A,1,8.5,19.0,10.5
ChIJ3fJHO2GFq0cR6ykC3bUTZQY,1,8.5,19.0,10.5
ChIJ9_HvN4LEq0cRBBistqvJYg8,1,8.5,19.0,10.5
ChIJpxrJ7lPDq0cR93n1cV2MTOE,1,8.5,20.0,11.5
ChIJQwsbEw3Dq0cRVuDbsZw7bZA,1,8.5,20.0,11.5
ChIJwVV_w0X1q0cRbhzzTBk_WvI,1,8.0,20.0,12.0
ChIJFTufhVbyq0cRsOhy-2VFxgk,1,8.5,20.0,11.5
ChIJtSctVXhYqkcR3sFclnwO1vo,1,9.0,19.0,10.0
ChIJ3zF0MZ1FqkcRWPRM13YOFu0,1,8.0,20.0,12.0
ChIJxcnjGJdHqkcR1-znfVWZmak,1,8.5,19.0,10.5
ChIJt0o5FsA7qkcRK9qp6eqJ2lM,1,8.0,20.0,12.0
ChIJRSyc1etPtkcRIE0TNng-a1c,1,8.5,20.0,11.5
ChIJIZSuFFBCtkcRZptSIQjmAPg,1,9.0,18.5,9.5
ChIJp2KrvlFCtkcRTxunE1QD-3s,1,8.5,19.0,10.5
ChIJaQ4LOehNtkcRMMCF8snBWvg,1,9.0,18.5,9.5
ChIJB_Mj5a9BtkcR6CJhJ5JVj0E,1,9.0,20.0,11.0
ChIJqVhMooVbtkcRuyExrfIqkpQ,1,8.0,20.0,12.0
ChIJG2gzPD9ftkcRQije_fmZ1Bs,1,8.5,19.0,10.5
ChIJxbCfUBv4tkcRbJsOqjmdiGc,1,8.0,20.0,12.0
ChIJ13P4EVRLtkcRSXUSnzKIC1E,1,9.0,19.0,10.0
ChIJl_Qn3y7_tkcRVYoAmgJSLJ8,1,8.0,19.0,11.0
ChIJbfiRmNGzt0cRsq4s59XPZf0,1,8.0,20.0,12.0
ChIJXy-0bSD7tkcRIZjXwzsfeHQ,1,8.5,19.0,10.5
ChIJu2nzBmjytkcRU3X9MSPxaN4,1,8.0,19.0,11.0
ChIJSUwhrzert0cR6X6JtMQSWEY,1,9.0,20.0,11.0
ChIJPfLcRKGst0cRj4oytceC74I,1,9.0,19.5,10.5
ChIJcz7D1Oo5tkcReMgL6XKMW6M,1,9.0,19.0,10.0
ChIJCUvMSLzjtkcRNgbNWYdhfyQ,1,9.0,19.0,10.0
ChIJ-chZyjKxt0cReiIcIZubM9c,1,8.0,20.0,12.0
ChIJCwJ-IpXrtkcR4Gzh4t5hQoQ,1,8.5,19.0,10.5
ChIJk4eITHnitkcRWS2FD--xo2w,1,8.0,19.0,11.0
ChIJ-9SoOl07tkcRpUIh6wbrvIA,1,8.0,20.0,12.0
ChIJFSUydusEt0cRT_58AiPF7IY,1,8.5,19.0,10.5
ChIJNWSr8HU5tkcRvyTFYd3A5CM,1,8.0,20.0,12.0
ChIJWciqSHbTtkcRG5uRRg9eaH4,1,8.0,20.0,12.0
ChIJT-wP2lPTtkcRxheNsml1kyg,1,9.0,19.0,10.0
ChIJ_xBeeBEosUcRNM3xPr8UHQ4,1,8.0,20.0,12.0
ChIJq57bomgosUcRazKDrFw31kA,1,8.5,20.0,11.5
ChIJ_xBeeBEosUcRnEI3QCpqRy4,1,8.0,20.0,12.0
ChIJ4UgRNzJCsUcRnkhcFsrXLTY,1,8.5,19.0,10.5
ChIJPW9aWBIosUcRxLKOfdl5Rac,1,6.0,22.0,16.0
ChIJg5F0xRfPtkcRDAFVZd4Ebqw,1,8.5,19.0,10.5
ChIJAeB28Na5tkcRdDIcenQWq3Y,1,8.5,19.0,10.5
ChIJZf9umiFKsUcRlzowpJyVwoU,1,8.0,20.0,12.0
ChIJ6Ubx2JgusUcRs_QVTjrCqSo,1,8.0,20.0,12.0
ChIJI2FoV_DStkcRJeNBjur8R2s,1,8.5,19.0,10.5
ChIJ06BpjRcusUcREEyArNAK08M,1,8.5,19.0,10.5
ChIJ0xocugspsUcRIoxX7CSfrEo,1,8.0,20.0,12.0
ChIJJ6E0FPvXsEcRG4SI9_pQrtU,1,8.5,20.0,11.5
ChIJ6RfCMZA4sUcRSNfqFgHQ36c,1,8.0,20.0,12.0
ChIJZ7KzJfAnsUcRJ20flXa1dsU,1,8.5,20.0,11.5
ChIJq1IZuS8lsUcRdYyH-Dp36pw,1,9.0,20.0,11.0
ChIJt5h4uO8SsEcR7MS1YgXCfH4,1,9.0,20.0,11.0
ChIJY8PMUBQssUcRKQBVRZoDbPA,1,8.5,19.0,10.5
ChIJY82bbnAssUcRBxOrobCexd4,1,8.0,20.0,12.0
ChIJxVA7UYYnsUcRW60bcTPZ7cc,1,9.0,20.0,11.0
ChIJqaQ39IAmsUcRkFxogVtqw5c,1,8.5,19.0,10.5
ChIJc8ALFP0nsUcRJW-v4vEp6KI,1,9.0,20.0,11.0
ChIJ8wJAqmApsUcREGge8ABa_6g,1,8.0,20.0,12.0
ChIJIynnSQYosUcR3i9_F36B1lQ,1,9.0,20.0,11.0
ChIJq30p5iAosUcRE_KUFiNIgT0,1,8.0,20.0,12.0
ChIJ06JRWAbftkcRWS5s1twgcwU,1,8.5,20.0,11.5
ChIJdZBHulEosUcRWctC_a_Il0o,1,9.0,20.0,11.0
ChIJdw5PlhLVsEcRtt5RqkYhSkE,1,9.0,19.0,10.0
ChIJNWKySwsnsUcRdvXoygWl8Os,1,8.5,20.0,11.5
ChIJzzpWIW3YsEcRakv8v7nlEaI,1,9.0,20.0,11.0
ChIJff4SGwfftkcRL0_Jew7rUQk,1,9.0,20.0,11.0
ChIJYxM327EgsUcR5905G_Q8B4U,1,8.0,20.0,12.0
ChIJZWac6hHVsEcR2s_re1Lxe1o,1,9.0,19.0,10.0
ChIJa6cTC0DWtkcRmC16BTR8USU,1,8.5,19.0,10.5
ChIJE3AwqrYnsUcRrn5ROJ184h0,1,8.0,20.0,12.0
ChIJzXX1RmXdtkcR8QuAhKN9lgk,1,8.0,19.0,11.0
ChIJT73f7X0nsUcRwoBMtg-4VGc,1,9.0,19.0,10.0
ChIJL9Od3eATsUcRKS_DK81hPIc,1,8.5,19.0,10.5
ChIJ3RHHgITXsEcRze7kqe1nRKg,1,9.0,20.0,11.0
ChIJY00VboMgt0cRoU7RbTnZK34,1,8.0,20.0,12.0
ChIJhzrlPXAgsUcRMwnA95q-MnQ,1,8.5,19.0,10.5
ChIJmdJmPNoesUcR00j5U3P9Gr4,1,8.5,20.0,11.5
ChIJ8yrwISnVsEcRzU9fAFU9u1I,1,8.0,20.0,12.0
ChIJ_Z4ijUPetkcRXog-H4dzu9s,1,8.0,20.0,12.0
ChIJiTjFhAjftkcRlE1A1najcp4,1,9.0,20.0,11.0
ChIJ2T5nTBkrt0cRJkG2zXysrGA,1,8.0,20.0,12.0
ChIJffTwB-HetkcRp3A1mPvB3Ag,1,8.0,20.0,12.0
ChIJTeL2sF7fsEcRLoEaU_Lh1Xo,1,8.5,20.0,11.5
ChIJBSQtdeKXsUcRiK-iTfM2LQ4,1,8.0,19.0,11.0
ChIJgaC2CKWRsUcR0-Zh5hWkeYs,1,8.0,20.0,12.0
ChIJadKvE6SRsUcRY3qbQQ6rTX0,1,9.0,20.0,11.0
